ID,Function,Date,Start Time,End Time,Category,Coordinator,Location,Status,Notes,Show on Website
1780420000000,Last Day of School,2026-05-27,,,Holiday,,,Confirmed,,Yes
1780450000000,PTA Meeting Scheduling,2026-06-01,16:30,,Meeting,Unassigned,,Confirmed,,No
1782257665100,PTA End of School Dinner - Appetizers,2026-06-07,17:00,,Meeting,David Nowell,Other,Confirmed,,No
1782257665097,PTA Board Members meeting Bring a snack,2026-07-26,14:00,,Meeting,David Nowell,Other,Confirmed,,No
1782257683698,Teacher Pre-Planning Week,2026-08-03,,,Teacher work day,Unassigned,,Confirmed,,Yes
1782257707804,Meet the teacher_PTA Lunch Sponsored,2026-08-06,11:30,12:00,CSE Event,Carrie Balthazar,Media Room,Tentative,,No
1782257652086,Back to school Breakfast _PTA sponsored,2026-08-04,08:00,,Event F-1,Carrie Balthazar,Media Room,Tentative,,No
1782257718868,Decorate School,2026-08-09,12:00,,Event A-1,Carrie Balthazar,,Confirmed,,No
1782257674251,First Day of School,2026-08-11,,,,Unassigned,,Confirmed,,Yes
1782257698105,Boohoo Breakfast (9-945),2026-08-11,09:00,09:45,Event A-2,Jessie Whitney,,Confirmed,,Yes
1782257699006,PTA Bike Ride,2026-08-14,17:30,,Event A-3,Duc Nguyen,Parking Lot,Confirmed,,Yes
1782257678513,PTA Meeting,2026-08-18,18:15,,Meeting,David Nowell,Media Room,Confirmed,,Yes
1782257736046,PTA Back-to-school Ice Cream Social  (Membership signup),2026-08-21,18:00,20:00,Event B-1,Rita Macias,Cafeteria,Confirmed,need volunteers,Yes
1782257654567,Room Parent Meeting,2026-09-01,18:00,,Event G-2,Carrie Balthazar,Media Room,Confirmed,,Yes
1782257702776,PTA Bike Ride,2026-09-11,17:30,,Event B-2,Duc Nguyen,Parking Lot,Confirmed,,Yes
1782257712153,Labor Day � No School,2026-09-07,,,Holiday,Unassigned,,Confirmed,,Yes
1782257710654,Game Night & Bingo (PTA General Meeting member only),2026-09-24,18:00,19:30,Fundraiser A,David Nowell,Cafeteria,Confirmed,,Yes
1782257675245,Picture Day,2026-09-24,,,Event G-3,Unassigned,,Confirmed,,Yes
1782257742296,Book Fair Sept 24 - Oct 2,2026-09-24,,,CSE Event,Unassigned,,Confirmed,,Yes
1782257734818,PTA Meeting,2026-09-15,18:15,,Meeting,David Nowell,Media Room,Confirmed,,Yes
1782257706400,Red ribbon week,2026-10-26,,,,Unassigned,,Confirmed,,Yes
1782257688897,PTA Bike Ride,2026-10-09,17:30,,Event B-3,Duc Nguyen,Parking Lot,Confirmed,,Yes
1782257689432,Teacher Workday  � No School,2026-10-12,,,Teacher work day,Unassigned,,Confirmed,,Yes
1782257738036,PTA Dinner Soup for Conferences,2026-10-14,15:00,,Event H-1,,,Tentative,,No
1782257725539,PTA Meeting,2026-10-20,18:15,,Meeting,David Nowell,Media Room,Confirmed,,Yes
1782257726231,Trunk or Treat,2026-10-23,18:00,,Event C-1,Jessie Whitney,Parking Lot,Confirmed,,Yes
1782257676505,PTA Door Decorations,2026-10-25,14:00,,CSE Event,Unassigned,,Tentative,,No
1782257661949,Book Character Parade,2026-10-30,,,CSE Event,Unassigned,,Confirmed,,No
1782257691464,Fall Fundraiser Begins,2026-11-02,,,Fundraiser B,Stefanie Preston,,Confirmed,Already scheduled,Yes
1782257732169,PTA Bike Ride,2026-11-13,17:30,,Event C-2,Duc Nguyen,Parking Lot,Confirmed,,Yes
1782257700571,Fall Fundraiser Run,2026-11-13,,,Fundraiser B,Stefanie Preston,,Confirmed,Already scheduled,Yes
1782257730575,PTA Meeting,2026-11-17,18:15,,Meeting,David Nowell,Media Room,Confirmed,,Yes
1782257687142,Teach-in,2026-11-18,,,CSE Event,,,Confirmed,,No
1782257725583,Thanksgiving Break Begins,2026-11-23,,,Holiday,Unassigned,,Confirmed,,Yes
1782257657963,Winter Concert (PTA General Meeting),2026-12-03,,,Meeting,David Nowell,Cafeteria,Confirmed,,Yes
1782257697723,PTA Bike Ride,2026-12-11,17:30,,Event C-3,Duc Nguyen,Parking Lot,Confirmed,,Yes
1782257692837,Holiday Shoppe,2026-12-11,,,Fundraiser C,May and June Wong,,Confirmed,Run till 12/18/2026,Yes
1782257662587,PTA Holiday Dinner - Appetizers,2026-12-13,17:00,,Meeting,David Nowell,,Confirmed,,Yes
1782257719665,Field day - need (sno cone flavors),2026-12-18,,,Event H-2,Carrie Balthazar,,Confirmed,,No
1782257668051,Winter Break Begins,2026-12-21,,,Holiday,Unassigned,,Confirmed,,Yes
1782257653271,Students Return / Semester Begins,2027-01-05,,,,Unassigned,,Confirmed,,Yes
1782257739215,Movie Night,2027-01-08,18:00,,Event D-1,Carrie Balthazar,Other,Confirmed,Already scheduled,Yes
1782257721225,PTA Bike Ride,2027-01-15,17:30,,Event D-2,Duc Nguyen,Parking Lot,Confirmed,,Yes
1782257716724,MLK � No School,2027-01-18,,,Holiday,Unassigned,,Confirmed,,Yes
1782257656081,PTA Meeting,2027-01-19,18:15,,Meeting,David Nowell,Media Room,Confirmed,,Yes
1782257658667,Literacy Week,2027-01-25,,,,Unassigned,,Confirmed,,Yes
1782257720411,Bowling,2027-01-29,18:00,20:00,Event D-3,Unassigned,Media Room,Confirmed,,Yes
1782257664107,Book Fair Feb 11 - 19,2027-02-11,,,CSE Event,Unassigned,,Confirmed,,Yes
1782257650329,PTA Bike Ride,2027-02-12,17:30,,Event E-1,Duc Nguyen,Parking Lot,Confirmed,,Yes
1782257682693,Valentine Day,2027-02-14,,,,Unassigned,,Confirmed,,Yes
1782257718116,President Day � No School,2027-02-15,,,Holiday,Unassigned,,Confirmed,,Yes
1782257746103,PTA Meeting,2027-02-16,18:15,,Meeting,David Nowell,Media Room,Confirmed,,Yes
